text,labels
"There are only about 1,600 pandas still living in the wild in China .",O O O O O O O O O O O O B-geo O
A top U.S. diplomat is in Turkey for talks on the situation in neighboring Iraq as it prepares for elections January 30th .,O O B-geo O O O B-geo O O O O O O O B-geo O O O O O B-tim I-tim O
Taleban militants and their supporters have stepped up their violent campaign aimed at disrupting Afghanistan 's parliamentary elections scheduled for September 18 .,B-org O O O O O O O O O O O O O B-geo O O O O O B-tim I-tim O
A series of five stamps issued by Mexican government depicting an exaggerated black cartoon character known as Memin Pinguin A newly issued Mexican postage stamp of a once-popular black comic book character has sparked controversy .,O O O O O O O B-gpe O O O O O O O O O B-org I-org I-org O O B-gpe O O O O O O O O O O O O O
"Local and U.S. activists have called for the withdrawal of the stamp , which depicts a 1940 's comic character called Memin Pinguin who has exaggerated thick lips and wide-opened eyes .",O O B-geo O O O O O O O O O O O O O B-tim O O O O B-org I-org O O O O O O O O O
American civil rights activist Jesse Jackson has called the stamp racist .,B-gpe O O O B-per I-per O O O O O O
But a presidential spokesman says the stamp is a celebration of Mexico 's pop culture .,O O O O O O O O O O O B-geo O O O O
The release of the stamp comes just weeks after Mexican President Vicente Fox angered many African-Americans by saying illegal Mexican immigrants are willing to do jobs in the United States not even blacks want to do .,O O O O O O O O O B-gpe B-per I-per I-per O O O O O O B-gpe O O O O O O O O B-geo I-geo O O O O O O O
"Mr. Fox apologized for any misunderstanding , saying he was only trying to highlight the important contribution of Mexican workers in the United States .",B-per I-per O O O O O O O O O O O O O O O O B-gpe O O O B-geo I-geo O
Venezuela 's state-run oil company has cut the time for foreign companies to pay for oil purchases from 30 days to eight days .,B-geo O O O O O O O O O O O O O O O O B-tim I-tim O B-tim I-tim O O
"Petroleos de Venezuela SA ( PDVSA ) said in a statement Tuesday that the decision was made , in part , because of the falling value of the U.S. dollar .",B-org I-org I-org I-org O B-org O O O O O B-tim O O O O O O O O O O O O O O O O B-geo O O
PDVSA also said having the payments sooner will allow it to re-invest its income quickly and remain competitive in the world oil market .,B-org O O O O O O O O O O O O O O O O O O O O O O O
Outgoing Deputy Secretary of State Richard Armitage was slated to meet with Turkish Foreign Minister Abdullah Gul as well as top lawmakers and Turkey 's army chief-of-staff .,O O O O O B-per I-per O O O O O B-gpe B-per I-per I-per I-per O O O O O O B-geo O O O O
"Last year , the Venezuelan government took majority control of large oil projects from foreign companies .",O O O O B-gpe O O O O O O O O O O O O
Oil companies like ExxonMobil and ConocoPhillips refused to accept new terms as junior partners .,O O O B-org O B-org O O O O O O O O O
The U.S. State Department has said Venezuela has the right to nationalize its assets but should provide fair compensation .,O B-org I-org I-org O O B-org O O O O O O O O O O O O O
Venezuela said it would not pay cash for the oil assets it takes over .,B-org O O O O O O O O O O O O O O
"Every year millions of unwanted dogs and cats in the U.S. are brought to animal shelters , where the hope is that they will be adopted .",O O O O O O O O O O B-geo O O O O O O O O O O O O O O O O
"The reality is that about half of them will be euthanized , because there are simply not enough homes for them .",O O O O O O O O O O O O O O O O O O O O O O
"Dealing with abandoned , abused and unwanted pets is a public health and safety issue that concerns most local governments in the U.S.",O O O O O O O O O O O O O O O O O O O O O O B-geo
But the task would be immensely more difficult if it were not for the support and expertise of privately funded animal rescue clinics .,O O O O O O O O O O O O O O O O O O O O O O O O
VOA 's George Dwyer reports on how one American animal shelter is working to help control the local pet population .,B-org O B-per I-per O O O O B-gpe O O O O O O O O O O O O
Ruth Reader narrates .,B-per I-per O O
"Earlier Sunday , in Syria , Mr. Armitage said Damascus has improved security along its border with Iraq .",O B-tim O O B-geo O B-per I-per O B-per O O O O O O O B-geo O
U.S. President George Bush has approved an extension of a trade agreement with four South American nations .,B-org B-per I-per I-per O O O O O O O O O O O B-gpe O O
Mr. Bush Thursday said the Andean Trade Preference Act shows the U.S. commitment to economic growth in the region .,B-per I-per B-tim O O O O O O O O B-geo O O O O O O O O
"The measure , first enacted in 1991 , lifts trade barriers with Bolivia , Colombia , Ecuador and Peru .",O O O O O O B-tim O O O O O B-geo O B-geo O B-geo O B-geo O
"But , the president said he has proposed suspending Bolivia 's trade preferences because the country has failed to cooperate with the United Sates on efforts to fight drug trafficking .",O O O O O O O O O B-geo O O O O O O O O O O O O B-org I-org O O O O O O O
"Mr. Bush also reiterated his call for Congress to approve free trade agreements with Colombia , Panama and South Korea .",B-per I-per O O O O O B-org O O O O O O B-geo O B-geo O B-geo I-geo O
"Citing the current financial crisis , Mr. Bush said keeping markets open to trade and investment is one of the best ways to restore global economic confidence .",O O O O O O B-per I-per O O O O O O O O O O O O O O O O O O O O
Turkish Prime Minister Recep Tayyip Erdogan has met with a leading pro-Kurdish politician after the government expressed interest in granting more rights to minority Kurds .,B-gpe B-per I-per I-per I-per I-per O O O O O O O O O O O O O O O O O O O O
"Mr. Erdogan held talks Wednesday with Ahmet Turk , the head of the pro-Kurdish Democratic Society Party .",B-per I-per O O B-tim O B-per I-per O O O O O O O O O O
The meeting is linked to an effort to end the 25-year insurgency by Kurdish rebels .,O O O O O O O O O O O O O B-org O O
Officials did not give details about topics under discussion .,O O O O O O O O O O
"But he also urged Syrian leaders to do more , and repeated U.S. claims that members of Saddam Hussein 's ousted regime are "" going back and forth from Syria "" into Iraq .",O O O O B-gpe O O O O O O O B-geo O O O O B-per I-per O O O O O O O O O O B-geo O O B-geo O
Mr. Erdogan has criticized the pro-Kurdish party for not denouncing members of the outlawed Kurdistan Workers ' Party as terrorists .,B-per I-per O O O O O O O O O O O O B-org I-org I-org I-org O O O
The PKK is listed as a terrorist group by Ankara and much of the international community .,O B-org O O O O O O O B-geo O O O O O O O
Separatist rebels have been fighting for Kurdish rule in southeastern Turkey for a quarter-century .,O O O O O O O O O O B-geo O O B-tim O
Tens of thousands of people have died in the conflict .,O O O O O O O O O O O
A brother of Afghan President Hamid Karzai says he survived an attack Monday on his motorcade that killed one of his bodyguards .,O O O B-gpe B-per I-per I-per O O O O O B-tim O O O O O O O O O O
Ahmad Wali Karzai said he was traveling from eastern Afghanistan to the capital of Kabul at the time of the attack .,B-per I-per I-per O O O O O B-geo I-geo O O O O B-geo O O O O O O O
"It was not immediately clear who was behind the attack , but the country is in the middle of a growing Taliban insurgency .",O O O O O O O O O O O O O O O O O O O O O B-org O O
Afghan authorities said militants attacked a police post and killed six officers Sunday in southern Helmand province .,B-gpe O O O O O O O O O O O B-tim O O B-geo O O
The Afghan Defense Ministry also said a roadside bomb in neighboring Zabul province killed an Afghan army soldier and wounded three others Sunday .,O B-gpe B-org I-org O O O O O O O B-geo O O O B-gpe O O O O O O B-tim O
Afghan and international forces have been fighting Taliban militants since 2001 .,B-gpe O O O O O O B-org O B-tim I-tim O
The U.S. envoy spoke after meeting with Syrian President Bashar al-Assad .,O B-geo O O O O O B-gpe B-per I-per I-per O
"U.S. President Barack Obama is sending an extra 21,000 troops to Afghanistan to try to crush the insurgency .",B-org B-per I-per I-per O O O O O O O B-geo O O O O O O O
"President Bush has again defended his defense secretary , Donald Rumsfeld , saying the secretary cares deeply about U.S. troops and the grief war causes .",B-per I-per O O O O O O O B-per I-per O O O O O O O B-geo O O O O O O O
"Asked at a news conference if he was offended that Mr. Rumsfeld has not been personally signing condolence letters to families of troops killed in Iraq , Mr. Bush said he "" knows Mr. Rumsfeld 's heart . """,O O O O O O O O O O B-per I-per O O O O O O O O O O O O O B-geo O B-per I-per O O O O B-per I-per O O O O
"He said the secretary 's demeanor may be rough , but underneath he is a good , decent man .",O O O O O O O O O O O O O O O O O O O O
The defense secretary is under criticism from a number of Republican and Democratic senators over his handling of operations in Iraq .,O O O O O O O O O O O O O O O O O O O O B-geo O
"Mr. Rumsfeld said in a statement Sunday that from now on , he will sign condolence letters in his own hand , instead of using a machine .",B-per I-per O O O O B-tim O O O O O O O O O O O O O O O O O O O O O
Two leading Republican senators said Sunday it would be disruptive to have Mr. Rumsfeld leave office now .,O O O O O B-tim O O O O O O B-per I-per O O O O
"Electoral officials in Iraq say they do not have the authority to postpone the nation 's January elections , as demanded by leading Iraqi political groups .",O O O B-geo O O O O O O O O O O O O B-tim O O O O O O B-gpe O O O
At least 15 mostly Sunni and Kurdish political groups asked the electoral commission Friday to delay the January 30 poll by up to six months because of ongoing violence in the country .,O O O O B-per O B-per O O O O O O B-tim O O O B-tim I-tim O O O O O O O O O O O O O O
"But the commission 's chairman , Abdel Hussein al-Hindawi , said Saturday , that any delay would have to be discussed among various groups , including the Iraqi interim government , parliament and the United Nations .",O O O O O O B-per I-per I-per O O B-tim O O O O O O O O O O O O O O O B-gpe O O O O O O B-org I-org O
"Mr. Armitage visited northern Iraq on Saturday , and will also visit Jordan before returning home early this week .",B-per I-per O O B-geo O B-tim O O O O O B-gpe O O O O O O O
"Meanwhile , a U.S. soldier was killed Saturday , by a roadside bomb near the town of Duluiya , 90 kilometers north of Baghdad .",O O O B-geo O O O B-tim O O O O O O O O O B-geo O O O O O B-geo O
"The U.S. military also says several Iraqi insurgents were killed while attacking a police station and other targets in the town of Khalis , north of Baghdad .",O B-geo O O O O B-gpe O O O O O O O O O O O O O O O B-geo O O O B-geo O
Haitian president-elect Rene Preval says Haiti 's constitution permits former president Jean-Bertrand Aristide to return from exile in South Africa .,B-gpe O B-per I-per O B-geo O O O O O B-per I-per O O O O O B-geo I-geo O
"In a news conference Wednesday , Mr. Preval said his position on Mr. Aristide is simple : the constitution says no Haitian citizen needs a visa to enter or leave the country .",O O O O B-tim O B-per I-per O O O O B-per I-per O O O O O O O B-gpe O O O O O O O O O O O
"Earlier Wednesday , Mr. Aristide told reporters in Pretoria , South Africa , that the date of his return to Haiti depends upon negotiations between Mr. Preval , the United Nations and other interested parties .",O B-tim O B-per I-per O O O B-geo O B-geo I-geo O O O O O O O O B-geo O O O O B-per I-per O O B-org I-org O O O O O
"He said when he returns he will not be involved in politics , but instead would like to teach .",O O O O O O O O O O O O O O O O O O O O
Mr. Aristide has been living in exile since he was forced out of office in February 2004 after an armed uprising .,B-per I-per O O O O O O O O O O O O O B-tim I-tim O O O O O
"Mr. Preval was once a close political ally to Mr. Aristide , but has distanced himself in recent years .",B-per I-per O O O O O O O B-per I-per O O O O O O O O O
NATO Secretary-General Jaap de Hoop Scheffer has called on Pakistan and NATO countries to step up their fight against Islamist militants along the Pakistani-Afghan border .,B-org I-org I-org I-org I-org I-org O O O B-org O B-org O O O O O O O O O O O O O O
"He said that a planned troop increase in Afghanistan will help foreign forces control some areas of the country , but that the international community must help with development and reconstruction to bring peace and stability to the nation .",O O O O O O O O B-geo O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"South Africa has lifted a 13-year ban on killing elephants , despite an outcry from conservationists and animal rights activists .",B-geo I-geo O O O O O O O O O O O O O O O O O O O
"The NATO chief spoke in Islamabad Thursday after talks with Pakistani Foreign Minister Shah Mehmood Qureshi , President Asif Ali Zardari and Prime Minister Yousuf Raza Gilani .",O B-org O O O B-geo B-tim O O O B-gpe O O B-per I-per I-per O B-per O B-per I-per O B-per O B-per I-per I-per O
Their talks centered on security in the border region and Pakistan 's growing relationship with the alliance .,O O O O O O O O O O B-org O O O O O O O
"Also Thursday , Pakistani security officials said government forces backed by helicopter gunships killed 11 militants in the country 's restive Swat Valley .",O B-tim O B-gpe O O O O O O O O O O O O O O O O O B-org I-org O
U.S. and NATO officials say Pakistan 's northwest tribal regions have become a safe haven for militants linked to the Taliban and al-Qaida .,B-geo O B-org O O B-org O O O O O O O O O O O O O O B-org O B-org O
The Economic Commission for Latin America and the Caribbean says the percentage of people living in poverty in the region has declined for the second straight year .,O B-org I-org O B-geo I-geo O B-geo I-geo O O O O O O O O O O O O O O O B-tim I-tim O O
"In a report released Friday , the U.N. panel said 13 million people have climbed out of poverty since 2003 .",O O O O B-tim O O B-geo O O O O O O O O O O B-tim I-tim O
It says better economic conditions and remittances sent home by emigrants working abroad have contributed to the decline .,O O O O O O O O O O O O O O O O O O O
"The organization 's executive director , Jose Luis Machinea , said projected figures for this year show the lowest poverty rates since the early 1980s , but he cautioned that two years of growth will not solve the region 's problems .",O O O O O O B-per I-per I-per O O O O O O O O O O O O B-tim O O B-tim O O O O O B-tim O O O O O O O O O O O
"The U.N. report says 213 million people , or nearly 41 percent of Latin Americans , live in poverty .",O B-geo O O B-org O O O O O O O O B-geo B-gpe O O O O O
European Union foreign policy chief Javier Solana says he has no information to confirm that the Central Intelligence Agency operated secret flights carrying terrorism suspects over Europe .,B-org I-org O O O B-per I-per O O O O O O O O O B-org I-org I-org O O O O O O O B-geo O
"The government earlier this year authorized the move , which took effect Thursday , as a way of controlling the rising elephant population , which has more than doubled since 1995 , to 18,000 .",O O O O O O O O O O O O B-tim O O O O O O O O O O O O O O O O B-tim I-tim O O O O
Mr. Solana made the comment Tuesday in testimony to a European Parliament committee investigating the claims .,B-per I-per O O O B-tim O O O O B-org I-org O O O O O
He also told the panel that he had no authority to demand that EU member states hand over information about probes into the reported flights .,O O O O O O O O O O O O O B-org O O O O O O O O O O O O
"Last week , aviation data was presented to the committee showing the CIA conducted more than one thousand secret flights in Europe over the past five years .",O O O O O O O O O O O O B-org O O O O O O O O B-geo O O B-tim I-tim O O
The panel is also studying claims that the CIA used secret prisons in some eastern European countries .,O O O O O O O O B-org O O O O O O O O O
The probe was sparked by news reports that said CIA agents had interrogated al-Qaida suspects at the prisons .,O O O O O O O O O B-org O O O B-org O O O O O
"Aid workers and government officials in southern Ethiopia say continued clan violence has displaced nearly 90,000 people .",O O O O O O B-geo I-geo O O O O O O O O O O
"United Nations officials say fighting between the Guji and Borena clans has forced residents to flee homes in and around the towns of Shakiso , Arero and Yabello - all south of Addis Ababa .",B-org I-org O O O O O B-geo O B-geo O O O O O O O O O O O O O B-geo O B-geo O B-geo O O O O B-geo I-geo O
"A regional administrator , Jaatanni Taadhii , says up to 29,000 have fled their homes in Arero , while an aid worker in Yabello says the number of displaced there may be as high as 39,000 .",O O O O B-per I-per O O O O O O O O O O B-geo O O O O O O B-geo O O O O O O O O O O O O O
"The aid group Oxfam says more than 20,000 people have fled Shakiso since mid-June .",O O O B-per O O O O O O O B-geo O B-geo O
This fighting began early last month after the government sided with the Guji community in a land dispute against its Borena neighbors .,O O O O O O O O O O O O B-geo O O O O O O O B-geo O O
"In related news , a conservation group says 14 elephants have been illegally killed during the last two weeks in the Democratic Republic of Congo 's Virunga National Park .",O O O O O O O O O O O O O O O O O B-tim O O O B-geo I-geo O B-geo O B-geo I-geo I-geo O
Aid groups say more than 100 people have died in the violence .,O O O O O O O O O O O O O
President Bush has surprised his close ally Japanese Prime Minister Junichiro Koizumi by giving him an electric scooter called a Segway .,B-per I-per O O O O O B-gpe B-per I-per I-per I-per O O O O O O O O O O
"Mr. Bush rode the upright two-wheeled vehicle around the State Guest House compound in Kyoto , Japan , before handing it over to Mr. Koizumi and urging him to try it out .",B-per I-per O O O O O O O B-art I-art I-art O O B-geo O B-geo O O O O O O B-per I-per O O O O O O O O
"The Japanese prime minister took a one-meter-long journey before saying , "" Oh , very good , "" and stepping off .",O B-gpe B-per O O O O O O O O O O O O O O O O O O O
"The $ 4,000 scooter uses gyroscopes , computers and motors to travel up to 19 kilometers an hour .",O O O O O O O O O O O O O O O O O O O
It can be tricky to ride - Mr. Bush was photographed falling off of a Segway in 2003 .,O O O O O O O B-per I-per O O O O O O O O B-tim O
"Unfortunately for Mr. Koizumi , Japan has banned the scooters on public streets .",O O B-per I-per O B-geo O O O O O O O O
"U.S. Vice President Dick Cheney has defended eavesdropping on Americans without court approval , saying the practice is critical to national security .",B-org B-per I-per I-per I-per O O O O B-gpe O O O O O O O O O O O O O
"Speaking to a conservative policy institute , the Manhattan Institute , in New York , Cheney said the practice is a wartime measure , limited in scope and fully consistent with both the president 's legal powers and Americans ' civil liberties .",O O O O O O O O B-org I-org O O B-geo I-geo O B-per O O O O O O O O O O O O O O O O O O O O O O B-gpe O O O O
Warrantless wiretaps on e-mails and telephone calls that cross U.S. boundaries was revealed by the New York Times last month .,O O O O O O O O O B-geo O O O O O B-org I-org I-org O O O
"Wildlife Direct says in a statement released Thursday that rebels , soldiers and local villagers killed the elephants .",B-org I-org O O O O O B-tim O O O O O O O O O O O
Administration critics describe the policy as an unprecedented expansion of presidential powers and violation of civil liberties .,O O O O O O O O O O O O O O O O O O
Senators have promised to hold hearings on the legality of the program .,O O O O O O O O O O O O O
"Cheney said Thursday that the policy was approved by Congress , although the leader of the Senate at the time denies this .",B-per O B-tim O O O O O O B-org O O O O O O B-org O O O O O O
"Iran will call for a cut in OPEC 's , the Organization of Petroleum Exporting Countries , oil output during the cartel 's meeting next week in Algeria .",B-geo O O O O O O B-org O O O B-org I-org I-org I-org I-org O O O O O O O O O O B-tim I-tim O
"Iran 's oil minster said Sunday that Tehran will push for a production cut of 1.5 million to two million barrels of oil per day , in an attempt to raise prices .",B-geo O O O O B-tim O B-org O O O O O O O O O O O O O O O O O O O O O O O O O
"After reaching a record high in July , oil prices have been falling fast as the faltering global economy lowers demand for energy .",O O O O O O B-tim O O O O O O O O O O O O O O O O O
But last month members of OPEC decided to delay possible supply cuts despite the steep drop in crude oil prices .,O O O O O B-org O O O O O O O O O O O O O O O
OPEC nations produce 40 percent of the world 's oil .,B-org O O O O O O O O O O
"Russia , a major non-OPEC oil producer , has said it may coordinate a production cut to bolster prices .",B-geo O O O O O O O O O O O O O O O O O O O
U.N. officials say peacekeepers in the Democratic Republic of Congo have killed more than 50 militiamen in a gun battle in the troubled northeastern Ituri province .,B-geo O O O O O B-geo I-geo I-geo I-geo O O O O O O O O O O O O O O B-geo O O
One of the 2008 Olympic mascots is modeled on a panda called Jing Jing .,O O O B-eve I-eve O O O O O O O B-nat I-nat O
"The group blames the surge in poaching on the liberalization of the ivory trade being pushed by South Africa , and the increased presence of Chinese operators in the area who feed a demand for ivory in their home country .",O O O O O O O O O O O O O O O O O B-geo I-geo O O O O O O B-gpe O O O O O O O O O O O O O O O
"A U.N. spokesman said Wednesday that the clash occurred Tuesday , some 30 kilometers from the town of Bunia .",O B-org O O B-tim O O O O B-tim O O O O O O O B-geo I-geo O
The spokesman said the U.N. forces responded using an attack helicopter .,O O O O B-org O O O O O O O
The clash comes one week after nine peacekeepers from Bangladesh were killed by militiamen in the same area .,O O O O O O O O O B-geo O O O O O O O O O
"Congolese security forces announced Tuesday that they arrested militia leader Floribert Ndjabu in the capital , Kinshasa and are questioning two other suspects in connection with the killings Mr. Ndjabu is the leader of the ethnic Lendu militia known as the Nationalist and Integrationist Front .",B-gpe O O O B-tim O O O O O B-org I-org O O O O B-org O O O O O O O O O O O B-per B-geo O O O O O O B-geo O O O O B-org I-org I-org I-org O
It is one of several militias operating in eastern Congo .,O O O O O O O O B-geo I-geo O
Spain 's Constitutional Court has ruled that the nation 's courts may investigate allegations of human rights abuses even if no Spanish citizens are involved .,B-org I-org I-org I-org O O O O O O O O O O O O O O O O O B-gpe O O O O
"The court said in its decision Wednesday that the principle of universal jurisdiction takes precedence over the existence , or not , of national interests .",O O O O O O B-tim O O O O O O O O O O O O O O O O O O O
The decision came from a case brought by Guatemalan Nobel peace laureate Rigoberta Menchu .,O O O O O O O O B-gpe B-per O O B-per I-per O
"She sought a probe of alleged genocide , murder , torture , and illegal detention of ethnic Indians in Guatemala between 1978 and 1986 , while the country was under military rule .",O O O O O O O O O O O O O O O O O B-gpe O B-geo B-tim I-tim I-tim I-tim O O O O O O O O O
"Events covered in the lawsuit include a 1980 attack on the Spanish Embassy in Guatemala City , in which more than 35 people died .",O O O O O O O B-tim O O O B-gpe B-org O B-geo I-geo O O O O O O O O O
The park was estimated to have an elephant population of 350 as of 2006 .,O O O O O O O O O O O O O B-tim O
Wednesday 's decision reversed earlier rulings that Spain could only investigate cases in which the victims were Spanish .,B-tim O O O O O O B-org O O O O O O O O O B-gpe O
Bosnian Croat war crimes suspect Miroslav Bralo has pleaded not guilty to 21 counts of war crimes and crimes against humanity during the 1993 Muslim-Croat fighting in Bosnia-Herzegovina .,B-gpe I-gpe O O O B-geo I-geo O O O O O O O O O O O O O O O O B-tim O O O B-geo O
"Mr. Bralo appeared before United Nations war crimes tribunal in The Hague to answer such charges as murder , rape , torture , and illegal detention of civilians .",B-per B-geo O O B-org I-org O O O O B-org I-org O O O O O O O O O O O O O O O O O
The indictment says Mr. Bralo committed the crimes as a member of a Bosnian Croat special unit called " The Jokers " that operated against Muslim forcers in central Bosnia .,O O O B-per B-geo O O O O O O O O B-gpe I-gpe O O O O O O O O O O B-geo O O O B-geo O
He voluntarily surrendered to authorities last month .,O O O O O O O O
Romanian voters go to the polls Sunday in presidential and parliamentary elections .,B-gpe O O O O O B-tim O O O O O O
Opinion polls indicate Socialist Democrat Prime Minister Adrian Nastase and Bucharest mayor Traian Basescu - the nominee of the Justice and Truth alliance-head the list of 12 presidential candidates .,O O O O O B-per I-per I-per I-per O B-gpe B-per I-per I-per O O O O O B-org O B-org O O O O O O O O
If no candidate wins a majority a runoff is scheduled for December 12 .,O O O O O O O O O O O B-tim I-tim O
Candidates of the Socialist Democrats and Justice and Truth alliance are also in tight races for seats in the country 's parliament .,O O O B-org I-org I-org I-org I-org I-org O O O O O O O O O O O O O O
Sunday 's balloting comes as the Socialist Democrats fight new charges of corruption against the governing party .,B-tim O O O O O B-org I-org O O O O O O O O O O
"U.S. military officials say a television cameraman killed in Iraq Monday died in a gunbattle between Marines and insurgents , contradicting an account from his news agency .",B-geo O O O O O O O O B-geo B-tim O O O O O B-org O O O O O O O O O O O
Documents said to be transcripts of top-level meetings are reported to highlight abuses of power .,O O O O O O O O O O O O O O O O
Prime Minister Nastase calls the documents fake .,O O B-per O O O O O
Corruption is a major problem in Romania .,O O O O O O B-geo O
The government has been seeking to implement reforms in hopes of moving the country towards European Union membership in 2007 .,O O O O O O O O O O O O O O O B-org I-org I-org O B-tim O
The judge hearing British 100-meter sprint champion Dwain Chambers ' appeal of a lifetime Olympic ban has delayed his decision until Thursday .,O O O B-gpe O O O B-org I-org O O O O O O O O O O O O B-tim O
Chambers served a two-year doping ban between 2003 and 2005 and appealed to London 's High Court for an injunction against the British Olympic Association 's ban for drug cheats .,O O O O O O B-tim I-tim I-tim I-tim O O O B-geo O B-org I-org O O O O O B-gpe O B-org O O O O O O
The 30-year-old Chambers earned an Olympic qualifying time Saturday when he won the 100 meters in 10 seconds flat at the British Olympic trials .,O O O O O O O O B-tim O O O O O O O O O O O O B-gpe O O O
The one-day delay leaves selection of Britain 's team up in the air and leaves even less time for either Chambers or the British Olympic Association to appeal the judge 's verdict .,O B-tim O O O O B-geo O O O O O O O O O O O O O O O O B-gpe O B-org O O O O O O O
Sunday is the deadline to submit the squad to the International Olympic Committee .,B-tim O O O O O O O O O B-org O B-org O
Three of Russia 's smaller political parties are set to merge .,O O B-geo O O O O O O O O O
"Dhia Najim , an Iraqi freelance cameraman working for Reuters , was shot and killed in the town of Ramadi , west of Baghdad .",B-per I-per O O B-gpe O O O O B-org O O O O O O O O O B-geo O O O B-geo O
"The leader of the Party of Life , Sergei Mironov , said Tuesday that the move will unite his party with the Rodina Party and the Party of Pensioners .",O O O O B-org I-org I-org I-org I-org I-org O O B-tim O O O O O O O O O B-org I-org O O B-org I-org I-org O
Mironov chairs Russia 's upper chamber of parliament .,B-org O B-geo O O O O O O
"The Itar-Tass news agency says he suggested "" Rodina , Pensioners and Life - Union of Trust "" as the working title for the new group .",O O O O O O O O B-org I-org I-org I-org I-org I-org I-org I-org I-org I-org O O O O O O O O O
"Some politicians called the merger an attempt to isolate opponents of Russian President Vladimir Putin , whose supporters hold a majority in the lower house of parliament , the State Duma .",O O O O O O O O O O O B-gpe B-per I-per I-per O O O O O O O O O O O O O O B-org I-org O
"But Mironov , who is said to have close ties to Mr. Putin , dismissed claims that the maneuver is being orchestrated by the Kremlin .",O B-org O O O O O O O O O B-per I-per O O O O O O O O O O O B-org O
Russia will hold parliamentary elections next year and presidential elections in 2008 .,B-geo O O O O O O O O O O B-tim O
"Assimilating the visually impaired has always been difficult , with the United States often cited as an example of what can be done with the help of modern technology .",O O O O O O O O O O O B-geo I-geo O O O O O O O O O O O O O O O O O
Now call centers in India are trying to do the same by using technology to employ the blind .,O O O O B-geo O O O O O O O O O O O O O O
VOA 's Ravi Khanna has the story .,B-org O B-per I-per O O O O
"In a key warm-up for the Wimbledon Championships , Croatian tennis player Mario Ancic has defeated Czech player Jan Hernych , 06-Apr , 06-Apr to reach the finals of the Ordina Open in Den Bosch , the Netherlands .",O O O O O O B-org I-org O B-gpe O O B-per I-per O O B-gpe O B-per I-per O O O O O O O O O O B-org I-org O B-geo I-geo O B-geo I-geo O
U.S. military officials say Mr. Najim was hit by a bullet in the neck while taping a clash between Marines and insurgents .,B-geo O O O B-per I-per O O O O O O O O O O O O O B-org O O O
"The Croatian next takes on Frenchman Michael Llodra , who scored a three-set win over Australian Mark Philippoussis ( 07-Jun , 06-Jul , 06-Mar ) .",O B-gpe O O O O B-per I-per O O O O O O O B-gpe B-per I-per O O O O O O O O
"Llodra and Ancic have met once before , in Bratislava in 2002 with the Croatian winning in straight sets ( 06-Apr , 07-Jun ) .",B-per O B-per O O O O O O B-geo O B-tim O O B-gpe O O O O O O O O O O
"In women 's play , Czech player Klara Koukalova overcame a first-set loss to beat countrywoman Lucie Safarova in three sets , 03-Jun , 06-Feb , 06-Feb .",O O O O O B-gpe O B-per I-per O O O O O O O B-per I-per O O O O O O O O O O
The victory was Koukalova 's first WTA tournament title .,O O O B-per O O B-org O O O
"The tournament is one of several grass-court events players are using to prepare for Wimbledon , which starts Monday in London .",O O O O O O O O O O O O O O B-org O O O B-tim O B-geo O
Macedonian government officials say the U.N. war crimes tribunal has indicted former Interior Minister Ljube Boskovski on war crime charges .,B-gpe O O O O B-geo O O O O O O O O B-per I-per O O O O O
"Details of the indictment are not yet clear , but media reports say Mr. Boskovski was arrested for his role in the killings of 10 ethnic Albanians during a 2001 clash with Macedonian security forces in the village of Ljubotno , near the capital of Skopje .",O O O O O O O O O O O O O B-per I-per O O O O O O O O O O O B-gpe O O B-tim O O B-gpe O O O O O O B-geo O O O O O B-geo O
"Officials say Mr. Boskovski was indicted with another Macedonian officer , Johan Tarulovski .",O O B-per I-per O O O O B-gpe O O B-per I-per O
It is not clear whether Mr. Tarulovski has been connected to the same incident .,O O O O O B-per B-geo O O O O O O O O
The charges mark Macedonia 's first indictments by the tribunal .,O O O B-geo O O O O O O O
But Reuters says video pictures taken at the time of Mr. Najim 's death show he was shot by a sniper and that there was no fighting at the time .,O B-org O O O O O O O O B-per I-per O O O O O O O O O O O O O O O O O O O
"Mr. Boskovski is currently in jail in Croatia , where he was charged last month with trying to disguise the killing of seven economic immigrants three years ago as an anti-terrorist raid .",B-per I-per O O O O O B-geo O O O O O O O O O O O O O O O O O B-tim O O O O O O O
He has denied all allegations .,O O O O O O
A United Nations report issued last month said global food prices will ease from recent record highs because of good grain harvests .,O B-org I-org O O O O O O O O O O O O O O O O O O O O
"But it predicted prices are unlikely to go back to pre-2007 levels , which is grim news for those who can not afford to eat and others who seek to feed the hungry .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"While the world food crisis is most acute in the world 's least developed nations , the elevated costs of staple foodstuffs and fuel are also hitting America 's poor .",O O O O O O O O O O O O O O O O O O O O O O O O O O O B-geo O O O
"The evidence can be seen on the shelves of a large warehouse , used to feed those who need assistance in the eastern U.S. state of Maryland .",O O O O O O O O O O O O O O O O O O O O O O O B-geo O O B-geo O
That is where VOA 's Malcolm Brown reports .,O O O B-org O B-per I-per O O
Jordan 's government says it has arrested an Iraqi woman who planned to blow herself up during Wednesday 's suicide bombings at hotels in Amman .,B-gpe O O O O O O O B-gpe O O O O O O O O B-tim O O O O O O B-geo O
